Category,Message,cleaning_text
0,aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
0,ffffffffff. alright no way i can meet up with you sooner?,ffffffffff alright way meet sooner
0,just forced myself to eat a slice. i'm really not hungry tho. this sucks. mark is getting worried. he knows i'm sick when i turn down pizza. lol,forced eat slice im really hungry tho suck mark getting worried know im sick turn pizza lol
0,lol your always so convincing.,lol always convincing
0,did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?,catch bus frying egg make tea eating mom left dinner feel love
0,"i'm back &amp; we're packing the car now, i'll let you know if there's room",im back amp packing car ill let know there room
0,ahhh. work. i vaguely remember that! what does it feel like? lol,ahhh work vaguely remember feel like lol
0,"wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait thats still clear sure sarcastic thats x doesnt want live u
0,yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. till 2! but we won't go there! not doing too badly cheers. you?,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wont go badly cheer
0,k tell me anything about you.,k tell anything
0,for fear of fainting with the of all that housework you just did? quick have a cuppa,fear fainting housework quick cuppa
1,thanks for your subscription to ringtone uk your mobile will be charged £5/month please confirm by replying yes or no. if you reply no you will not be charged,thanks subscription ringtone uk mobile charged 5month please confirm replying yes reply charged
0,yup... ok i go home look at the timings then i msg ü again... xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look timing msg ü xuhui going learn 2nd may lesson 8am
0,"oops, i'll let you know when my roommate's done",oops ill let know roommate done
0,i see the letter b on my car,see letter b car
0,anything lor... u decide...,anything lor u decide
0,hello! how's you and how did saturday go? i was just texting to see if you'd decided to do anything tomo. not that i'm trying to invite myself or anything!,hello hows saturday go texting see youd decided anything tomo im trying invite anything
0,pls go ahead with watts. i just wanted to be sure. do have a great weekend. abiola,pls go ahead watt wanted sure great weekend abiola
0,"did i forget to tell you ? i want you , i need you, i crave you ... but most of all ... i love you my sweet arabian steed ... mmmmmm ... yummy",forget tell want need crave love sweet arabian steed mmmmmm yummy
1,07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow,07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow
0,who are you seeing?,seeing
0,great! i hope you like your man well endowed. i am  &lt;#&gt;  inches...,great hope like man well endowed ltgt inch
0,no calls..messages..missed calls,callsmessagesmissed call
0,didn't you get hep b immunisation in nigeria.,didnt get hep b immunisation nigeria
0,"fair enough, anything going on?",fair enough anything going
0,"yeah hopefully, if tyler can't do it i could maybe ask around a bit",yeah hopefully tyler cant could maybe ask around bit
0,u don't know how stubborn i am. i didn't even want to go to the hospital. i kept telling mark i'm not a weak sucker. hospitals are for weak suckers.,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospital weak sucker
0,what you thinked about me. first time you saw me in class.,thinked first time saw class
0,"a gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt
0,k fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride early tomorrow morning he crashing place tonight
0,"wow. i never realized that you were so embarassed by your accomodations. i thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". i'm sorry i didn't and don't have more to give. i'm sorry i offered. i'm sorry your room was so embarassing.",wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
1,sms. ac sptv: the new jersey devils and the detroit red wings play ice hockey. correct or incorrect? end? reply end sptv,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
0,do you know what mallika sherawat did yesterday? find out now @  &lt;url&gt;,know mallika sherawat yesterday find lturlgt
1,"congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out!",congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss
0,"sorry, i'll call later in meeting.",sorry ill call later meeting
0,tell where you reached,tell reached
0,yes..gauti and sehwag out of odi series.,yesgauti sehwag odi series
0,your gonna have to pick up a $1 burger for yourself on your way home. i can't even move. pain is killing me.,gon na pick 1 burger way home cant even move pain killing
0,ha ha ha good joke. girls are situation seekers.,ha ha ha good joke girl situation seeker
0,its a part of checking iq,part checking iq
0,"sorry my roommates took forever, it ok if i come by now?",sorry roommate took forever ok come
0,ok lar i double check wif da hair dresser already he said wun cut v short. he said will cut until i look nice.,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
1,"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589",valued customer pleased advise following recent review mob awarded 1500 bonus prize call 09066364589
0,"today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me...",today song dedicated day song u dedicate send ur valuable frnds first rply
1,"urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or £1000. to claim txt dis to 87121 18+6*£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj",urgent ur awarded complimentary trip eurodisinc trav acoentry41 1000 claim txt dis 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj
1,"did you hear about the new ""divorce barbie""? it comes with all of ken's stuff!",hear new divorce barbie come ken stuff
0,i plane to give on this month end.,plane give month end
0,wah lucky man... then can save money... hee...,wah lucky man save money hee
0,finished class where are you.,finished class
0,hi babe im at home now wanna do something? xx,hi babe im home wan na something xx
0,k..k:)where are you?how did you performed?,kkwhere youhow performed
0,u can call me now...,u call
0,i am waiting machan. call me once you free.,waiting machan call free
0,thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool gentleman treat dignity respect
0,i like you peoples very much:) but am very shy pa.,like people much shy pa
0,does not operate after  &lt;#&gt;  or what,operate ltgt
0,its not the same here. still looking for a job. how much do ta's earn there.,still looking job much ta earn
0,"sorry, i'll call later",sorry ill call later
0,k. did you call me just now ah?,k call ah
0,ok i am on the way to home hi hi,ok way home hi hi
0,you will be in the place of that man,place man
0,yup next stop.,yup next stop
0,"i call you later, don't have network. if urgnt, sms me.",call later dont network urgnt sm
0,for real when u getting on yo? i only need 2 more tickets and one more jacket and i'm done. i already used all my multis.,real u getting yo need 2 ticket one jacket im done already used multis
0,yes i started to send requests to make it but pain came back so i'm back in bed. double coins at the factory too. i gotta cash in all my nitros.,yes started send request make pain came back im back bed double coin factory got ta cash nitros
0,i'm really not up to it still tonight babe,im really still tonight babe
0,"ela kano.,il download, come wen ur free..",ela kanoil download come wen ur free
0,yeah do! don‘t stand to close tho- you‘ll catch something!,yeah dont stand close tho youll catch something
0,sorry to be a pain. is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. sorry.,sorry pain ok meet another night spent late afternoon casualty mean havent done stuff42moro includes time sheet sorry
0,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!,smile pleasure smile pain smile trouble pours like rain smile sum1 hurt u smile becoz someone still love see u smiling
1,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!,please call customer service representative 0800 169 6031 10am9pm guaranteed 1000 cash 5000 prize
0,havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?,havent planning buy later check already lido got 530 show e afternoon u finish work already
1,"your free ringtone is waiting to be collected. simply text the password ""mix"" to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16",free ringtone waiting collected simply text password mix 85069 verify get usher britney fml po box 5249 mk17 92h 450ppw 16
0,watching telugu movie..wat abt u?,watching telugu moviewat abt u
0,i see. when we finish we have loads of loans to pay,see finish load loan pay
0,"hi. wk been ok - on hols now! yes on for a bit of a run. forgot that i have hairdressers appointment at four so need to get home n shower beforehand. does that cause prob for u?""",hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u
0,i see a cup of coffee animation,see cup coffee animation
0,please don't text me anymore. i have nothing else to say.,please dont text anymore nothing else say
0,okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx,okay name ur price long legal wen pick u ave x am xx
0,i'm still looking for a car to buy. and have not gone 4the driving test yet.,im still looking car buy gone 4the driving test yet
0,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
0,"wow. you're right! i didn't mean to do that. i guess once i gave up on boston men and changed my search location to nyc, something changed. cuz on my signin page it still says boston.",wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
0,umma my life and vava umma love you lot dear,umma life vava umma love lot dear
0,thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable.,thanks lot wish birthday thanks making birthday truly memorable
0,"aight, i'll hit you up when i get some cash",aight ill hit get cash
0,how would my ip address test that considering my computer isn't a minecraft server,would ip address test considering computer isnt minecraft server
0,i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes...,know grumpy old people mom like better lying always one play joke
0,dont worry. i guess he's busy.,dont worry guess he busy
0,what is the plural of the noun research?,plural noun research
0,going for dinner.msg you after.,going dinnermsg
0,i'm ok wif it cos i like 2 try new things. but i scared u dun like mah. cos u said not too loud.,im ok wif co like 2 try new thing scared u dun like mah co u said loud
1,gent! we are trying to contact you. last weekends draw shows that you won a £1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm,gent trying contact last weekend draw show 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
0,"wa, ur openin sentence very formal... anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...haha... so anythin special happened?",wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
0,"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.",entered cabin pa said happy bday bos felt special askd 4 lunch lunch invited apartment went
1,you are a winner u have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),winner u specially selected 2 receive 1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18
0,goodo! yes we must speak friday - egg-potato ratio for tortilla needed!,goodo yes must speak friday eggpotato ratio tortilla needed
0,hmm...my uncle just informed me that he's paying the school directly. so pls buy food.,hmmmy uncle informed he paying school directly pls buy food
1,private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires,private 2004 account statement 07742676969 show 786 unredeemed bonus point claim call 08719180248 identifier code 45239 expires
1,"urgent! your mobile no. was awarded £2000 bonus caller prize on 5/9/03 this is our final try to contact u! call from landline 09064019788 box42wr29c, 150ppm",urgent mobile awarded 2000 bonus caller prize 5903 final try contact u call landline 09064019788 box42wr29c 150ppm
0,here is my new address -apples&pairs&all that malarky,new address applespairsall malarky
1,todays voda numbers ending 7548 are selected to receive a $350 award. if you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rate app
0,i am going to sao mu today. will be done only at 12,going sao mu today done 12
0,ü predict wat time ü'll finish buying?,ü predict wat time üll finish buying
0,"good stuff, will do.",good stuff
0,"just so that you know,yetunde hasn't sent money yet. i just sent her a text not to bother sending. so its over, you dont have to involve yourself in anything. i shouldn't have imposed anything on you in the first place so for that, i apologise.",knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
0,are you there in room.,room
0,hey girl. how r u? hope u r well me an del r bak! again long time no c! give me a call sum time from lucyxx,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
0,k..k:)how much does it cost?,kkhow much cost
0,i'm home.,im home
0,"dear, will call tmorrow.pls accomodate.",dear call tmorrowpls accomodate
0,first answer my question.,first answer question
1,sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 150 sptyrone
1,want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk's largest dogging network bt txting gravel to 69888! nt. ec2a. 31p.msg@150p,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 31pmsg150p
0,i only haf msn. it's yijue@hotmail.com,haf msn yijuehotmailcom
0,he is there. you call and meet him,call meet
0,no no. i will check all rooms befor activities,check room befor activity
1,you'll not rcv any more msgs from the chat svc. for free hardcore services text go to: 69988 if u get nothing u must age verify with yr network & try again,youll rcv msg chat svc free hardcore service text go 69988 u get nothing u must age verify yr network try
0,got c... i lazy to type... i forgot ü in lect... i saw a pouch but like not v nice...,got c lazy type forgot ü lect saw pouch like v nice
0,"k, text me when you're on the way",k text youre way
0,"sir, waiting for your mail.",sir waiting mail
0,"a swt thought: ""nver get tired of doing little things 4 lovable persons.."" coz..somtimes those little things occupy d biggest part in their hearts.. gud ni8",swt thought nver get tired little thing 4 lovable person cozsomtimes little thing occupy biggest part heart gud ni8
0,i know you are. can you pls open the back?,know pls open back
0,yes see ya not on the dot,yes see ya dot
0,whats the staff name who is taking class for us?,whats staff name taking class u
1,"freemsg why haven't you replied to my text? i'm randy, sexy, female and live local. luv to hear from u. netcollex ltd 08700621170150p per msg reply stop to end",freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end
0,ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummmawill call check inour life begin qatar pls pray hard
0,k..i deleted my contact that why?,ki deleted contact
0,sindu got job in birla soft ..,sindu got job birla soft
0,the wine is flowing and i'm i have nevering..,wine flowing im nevering
0,yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine better co need 2 go 2 plaza mah
0,ok... ur typical reply...,ok ur typical reply
0,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
0,"you are everywhere dirt, on the floor, the windows, even on my shirt. and sometimes when i open my mouth, you are all that comes flowing out. i dream of my world without you, then half my chores are out too. a time of joy for me, lots of tv shows i.ll see. but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done become one
0,aaooooright are you at work?,aaooooright work
0,i'm leaving my house now...,im leaving house
0,"hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?",hello love get interview today happy good boy think meare missing
1,customer service annoncement. you have a new years delivery waiting for you. please call 07046744435 now to arrange delivery,customer service annoncement new year delivery waiting please call 07046744435 arrange delivery
1,you are a winner u have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner u specially selected 2 receive 1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810
0,keep yourself safe for me because i need you and i miss you already and i envy everyone that see's you in real life,keep safe need miss already envy everyone see real life
0,new car and house for my parents.:)i have only new job in hand:),new car house parentsi new job hand
0,i'm so in love with you. i'm excited each day i spend with you. you make me so happy.,im love im excited day spend make happy
1,-pls stop bootydelious (32/f) is inviting you to be her friend. reply yes-434 or no-434 see her: www.sms.ac/u/bootydelious stop? send stop frnd to 62468,pls stop bootydelious 32f inviting friend reply yes434 no434 see wwwsmsacubootydelious stop send stop frnd 62468
1,"bangbabes ur order is on the way. u should receive a service msg 2 download ur content. if u do not, goto wap. bangb. tv on ur mobile internet/service menu",bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu
0,i place all ur points on e cultures module already.,place ur point e culture module already
1,urgent! we are trying to contact you. last weekends draw shows that you have won a £900 prize guaranteed. call 09061701939. claim code s89. valid 12hrs only,urgent trying contact last weekend draw show 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs
0,"hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd best way avoid missunderstding wit beloved one
0,great escape. i fancy the bridge but needs her lager. see you tomo,great escape fancy bridge need lager see tomo
0,yes :)it completely in out of form:)clark also utter waste.,yes completely formclark also utter waste
0,"sir, i need axis bank account no and bank address.",sir need axis bank account bank address
0,"hmmm.. thk sure got time to hop ard... ya, can go 4 free abt... muz call u to discuss liao...",hmmm thk sure got time hop ard ya go 4 free abt muz call u discus liao
0,what time you coming down later?,time coming later
0,"bloody hell, cant believe you forgot my surname mr . ill give u a clue, its spanish and begins with m...",bloody hell cant believe forgot surname mr ill give u clue spanish begin
0,"well, i'm gonna finish my bath now. have a good...fine night.",well im gon na finish bath goodfine night
0,let me know when you've got the money so carlos can make the call,let know youve got money carlos make call
0,u still going to the mall?,u still going mall
0,"turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turn friend staying whole show wont back til ltgt feel free go ahead smoke ltgt worth
0,text her. if she doesnt reply let me know so i can have her log in,text doesnt reply let know log
0,hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.,hi spoke maneesha v wed like know satisfied experience reply toll free yes
0,you lifted my hopes with the offer of money. i am in need. especially when the end of the month approaches and it hurts my studying. anyways have a gr8 weekend,lifted hope offer money need especially end month approach hurt studying anyways gr8 weekend
0,lol no. u can trust me.,lol u trust
0,ok. i am a gentleman and will treat you with dignity and respect.,ok gentleman treat dignity respect
0,"he will, you guys close?",guy close
0,going on nothing great.bye,going nothing greatbye
0,hello handsome ! are you finding that job ? not being lazy ? working towards getting back that net for mummy ? where's my boytoy now ? does he miss me ?,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss
0,"haha awesome, be there in a minute",haha awesome minute
1,please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed 1000 cash 5000 prize
0,have you got xmas radio times. if not i will get it now,got xmas radio time get
0,i jus reached home. i go bathe first. but my sis using net tell u when she finishes k...,jus reached home go bathe first si using net tell u finish k
1,are you unique enough? find out from 30th august. www.areyouunique.co.uk,unique enough find 30th august wwwareyouuniquecouk
0,i'm sorry. i've joined the league of people that dont keep in touch. you mean a great deal to me. you have been a friend at all times even at great personal cost. do have a great week.|,im sorry ive joined league people dont keep touch mean great deal friend time even great personal cost great week
0,hi :)finally i completed the course:),hi finally completed course
0,it will stop on itself. i however suggest she stays with someone that will be able to give ors for every stool.,stop however suggest stay someone able give or every stool
0,how are you doing? hope you've settled in for the new school year. just wishin you a gr8 day,hope youve settled new school year wishin gr8 day
0,gud mrng dear hav a nice day,gud mrng dear hav nice day
0,did u got that persons story,u got person story
0,is your hamster dead? hey so tmr i meet you at 1pm orchard mrt?,hamster dead hey tmr meet 1pm orchard mrt
0,hi its kate how is your evening? i hope i can see you tomorrow for a bit but i have to bloody babyjontet! txt back if u can. :) xxx,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
0,"found it, enc  &lt;#&gt; , where you at?",found enc ltgt
0,i sent you  &lt;#&gt;  bucks,sent ltgt buck
0,hello darlin ive finished college now so txt me when u finish if u can love kate xxx,hello darlin ive finished college txt u finish u love kate xxx
0,your account has been refilled successfully by inr  &lt;decimal&gt; . your keralacircle prepaid account balance is rs  &lt;decimal&gt; . your transaction id is kr &lt;#&gt; .,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance r ltdecimalgt transaction id kr ltgt
0,goodmorning sleeping ga.,goodmorning sleeping ga
0,u call me alter at 11 ok.,u call alter 11 ok
0,ü say until like dat i dun buy ericsson oso cannot oredi lar...,ü say like dat dun buy ericsson oso oredi lar
0,"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.",entered cabin pa said happy bday bos felt special askd 4 lunch lunch invited apartment went
0,"aight yo, dats straight dogg",aight yo dat straight dogg
0,you please give us connection today itself before  &lt;decimal&gt;  or refund the bill,please give u connection today ltdecimalgt refund bill
0,both :) i shoot big loads so get ready!,shoot big load get ready
0,"what's up bruv, hope you had a great break. do have a rewarding semester.",whats bruv hope great break rewarding semester
0,home so we can always chat,home always chat
0,k:)k:)good:)study well.,kkgoodstudy well
0,yup... how ü noe leh...,yup ü noe leh
0,sounds great! are you home now?,sound great home
0,finally the match heading towards draw as your prediction.,finally match heading towards draw prediction
0,tired. i haven't slept well the past few nights.,tired havent slept well past night
0,easy ah?sen got selected means its good..,easy ahsen got selected mean good
0,i have to take exam with march 3,take exam march 3
0,yeah you should. i think you can use your gt atm now to register. not sure but if there's anyway i can help let me know. but when you do be sure you are ready.,yeah think use gt atm register sure there anyway help let know sure ready
0,ok no prob. take ur time.,ok prob take ur time
0,there is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,o called ubandu run without installing hard diskyou use o copy important file system give repair shop
0,"sorry, i'll call later",sorry ill call later
0,u say leh... of course nothing happen lar. not say v romantic jus a bit only lor. i thk e nite scenery not so nice leh.,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
1,"500 new mobiles from 2004, must go! txt: nokia to no: 89545 & collect yours today!from only £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",500 new mobile 2004 must go txt nokia 89545 collect todayfrom 1 www4tcbiz 2optout 08718726270150gbpmtmsg18
0,would really appreciate if you call me. just need someone to talk to.,would really appreciate call need someone talk
1,"will u meet ur dream partner soon? is ur career off 2 a flyng start? 2 find out free, txt horo followed by ur star sign, e. g. horo aries",u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign e g horo aries
0,hey company elama po mudyadhu.,hey company elama po mudyadhu
0,"life is more strict than teacher... bcoz teacher teaches lesson &amp; then conducts exam, but life first conducts exam &amp; then teaches lessons. happy morning. . .",life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning
0,dear good morning now only i am up,dear good morning
0,get down in gandhipuram and walk to cross cut road. right side &lt;#&gt; street road and turn at first right.,get gandhipuram walk cross cut road right side ltgt street road turn first right
0,dear we are going to our rubber place,dear going rubber place
0,"sorry battery died, yeah i'm here",sorry battery died yeah im
0,yes:)here tv is always available in work place..,yeshere tv always available work place
1,text & meet someone sexy today. u can find a date or even flirt its up to u. join 4 just 10p. reply with name & age eg sam 25. 18 -msg recd@thirtyeight pence,text meet someone sexy today u find date even flirt u join 4 10p reply name age eg sam 25 18 msg recdthirtyeight penny
0,i have printed it oh. so  &lt;#&gt;  come upstairs,printed oh ltgt come upstairs
0,or ill be a little closer like at the bus stop on the same street,ill little closer like bus stop street
0,where are you?when wil you reach here?,youwhen wil reach
0,"new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!",new theory argument win situation loses person dont argue ur friend kick amp say im always correct
1,u 447801259231 have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094597,u 447801259231 secret admirer looking 2 make contact ufind rreveal think ur specialcall 09058094597
0,tomarrow final hearing on my laptop case so i cant.,tomarrow final hearing laptop case cant
0,pleassssssseeeeee tel me v avent done sportsx,pleassssssseeeeee tel v avent done sportsx
0,"okay. no no, just shining on. that was meant to be signing, but that sounds better.",okay shining meant signing sound better
0,"although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. thanx 4 everything dat u've done today, i'm touched...",although told u dat im baig face watch really like e watch u gave co fr u thanx 4 everything dat uve done today im touched
0,u don't remember that old commercial?,u dont remember old commercial
0,too late. i said i have the website. i didn't i have or dont have the slippers,late said website didnt dont slipper
0,i asked you to call him now ok,asked call ok
0,kallis wont bat in 2nd innings.,kallis wont bat 2nd inning
0,it didnt work again oh. ok goodnight then. i.ll fix and have it ready by the time you wake up. you are very dearly missed have a good night sleep.,didnt work oh ok goodnight ill fix ready time wake dearly missed good night sleep
1,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16,congratulation ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs wwwldewcom1win150ppmx3age16
